bib,name,gender,country,age_group,point,overall_rank,group_rank,gender_rank,time_overall,time_swim,time_bike,time_run,time_T1,time_T2,link,certificate
247,"Razuvaev, Vladimir",male,rus,30-34,"2,730",264,44,226,12:25:02,01:25:03,05:55:59,04:53:03,00:05:59,00:04:58,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=247&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=247&rd=20161112
41,"Riesler, Diana",female,deu,PRO,"5,000",16,1,1,09:25:34,00:58:50,05:01:33,03:21:37,00:01:59,00:01:35,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=41&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=41&rd=20161112
268,"Ng, Boon Bin",male,mys,30-34,"1,000",819,119,711,16:54:17,01:41:48,08:06:35,06:49:32,00:08:01,00:08:21,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=268&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=268&rd=20161112
771,"Giaconia, Mauro",male,ita,45-49,"3,652",178,32,160,11:26:36,00:56:49,05:41:56,04:41:55,00:02:55,00:03:01,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=771&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=771&rd=20161112
597,"Kniz, Peter",male,svk,40-44,"4,094",107,14,97,10:45:59,01:02:15,05:49:35,03:43:55,00:05:43,00:04:31,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=597&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=597&rd=20161112
159,"Muhammad Faiq, Hudhaifah",male,mys,25-29,"1,000",642,47,556,15:29:03,01:47:21,07:06:33,06:06:28,00:08:35,00:20:06,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=159&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=159&rd=20161112
545,"Yu, Mei Chei",female,mys,35-39,"1,000",782,14,100,16:36:04,01:47:24,08:02:10,06:32:57,00:07:05,00:06:28,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=545&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=545&rd=20161112
165,"Ahmad Izuddin, Ahmad Huzaifah",male,mys,25-29,"2,490",325,25,275,12:59:59,01:37:08,06:06:11,04:59:13,00:05:47,00:11:40,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=165&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=165&rd=20161112
905,"Sasahara, Yukiko",female,jpn,45-49,"1,720",631,12,85,15:23:57,01:42:22,07:26:39,06:01:25,00:09:20,00:04:11,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=905&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=905&rd=20161112
473,"Basan, Ariel",male,phl,35-39,"2,204",432,79,371,13:46:45,01:25:24,06:33:09,05:30:07,00:08:20,00:09:45,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=473&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=473&rd=20161112
656,"Abu Bakar, Hatta Affendy",male,mys,40-44,"1,338",530,80,456,14:35:39,01:31:06,06:57:01,05:50:29,00:09:29,00:07:34,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=656&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=656&rd=20161112
865,"Letigio, Bouye Joseph",male,phl,45-49,"2,069",408,63,352,13:38:30,01:33:29,06:26:34,05:24:02,00:04:35,00:09:50,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=865&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=865&rd=20161112
108,"Kung Chi Wai, Victor",male,mys,18-24,"1,599",609,18,528,15:14:48,01:16:26,07:41:49,05:55:41,00:07:30,00:13:22,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=108&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=108&rd=20161112
440,"Liew, Stephen",male,mys,35-39,"2,746",327,58,277,13:01:35,01:20:41,06:15:56,05:15:51,00:04:11,00:04:56,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=440&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=440&rd=20161112
12,"Beck, Henry",male,deu,PRO,0,--,--,--,DNF,00:49:59,05:15:45,--:--:--,00:02:15,00:04:03,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=12&rd=2016-11-12,
209,"Marar, Anand",male,ind,30-34,"1,000",693,105,600,15:52:47,01:33:32,08:03:51,05:55:23,00:13:12,00:06:49,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=209&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=209&rd=20161112
1278,"Choong, Kean Mun",male,mys,40-44,0,--,--,--,DNF,02:03:16,--:--:--,--:--:--,00:15:59,---,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=1278&rd=2016-11-12,
422,"O'shea, Colin",male,irl,35-39,"4,942",36,5,32,09:58:37,00:55:30,05:11:44,03:45:49,00:03:04,00:02:30,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=422&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=422&rd=20161112
1203,"Ng, Seow Kong",male,mys,55-59,"1,608",654,16,565,15:33:59,02:18:14,07:17:56,05:36:47,00:08:25,00:12:37,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=1203&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=1203&rd=20161112
664,"Jones, Darrin",male,aus,40-44,"3,788",149,19,136,11:11:25,01:10:06,05:16:08,04:37:10,00:04:39,00:03:22,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=664&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=664&rd=20161112
997,"Kil, Chun",male,kor,55-59,"2,941",418,9,360,13:42:51,01:20:48,06:18:46,05:50:37,00:07:18,00:05:22,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=997&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=997&rd=20161112
681,"Alex, Goh",male,sgp,40-44,"2,609",303,40,256,12:49:41,02:07:50,06:20:35,04:06:25,00:08:55,00:05:56,http://m.ap.ironman.com/triathlon/events/asiapac/ironman/malaysia/results.aspx?bidid=681&rd=2016-11-12,http://m.ap.ironman.com/finishercertificate.aspx?race=malaysia&bid=681&rd=20161112
